CDCN,Campus Name,CDN,Charter,Site Street Address,Site City,Site Zip5,Address,Enrollment,Grade,Latitude,Longitude,Phone,Website,ObjectId,x,y
084804101,AMBASSADORS PREPARATORY ACADEMY,084804,AMBASSADORS PREPARATORY ACADEMY,5001 AVE U,GALVESTON,"77,551","5001 AVE U, GALVESTON, TX 77551",190,EE PK KG 01 02 03 04 05 06 07 08,29.28,-94.82,(409) 762-1115,www.apagalv.org,11,-10554952.089336216,3410746.324009478
101819001,AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,5503 EL CAMINO DEL REY,HOUSTON,"77,081","5503 EL CAMINO DEL REY, HOUSTON, TX 77081",560,PK KG 01 02 03 04 05 06 07 08,29.72,-95.48,(713) 349-9945,www.amigosporvida.com,12,-10628620.049984202,3467896.2975093774
015808009,ANNE FRANK INSPIRE ACADEMY,015808,INSPIRE ACADEMIES,11216 BANDERA RD,SAN ANTONIO,"78,249","11216 BANDERA RD, SAN ANTONIO, TX 78249",473,KG 01 02 03 04 05 06 07 08 09 10 11 12,29.55,-98.66,(210) 638-5900,www.braination.net,13,-10982872.154591229,3445501.0608291863
227806017,ANNUNCIATION MATERNITY HOME,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,3610 SHELL RD,GEORGETOWN,"78,628","3610 SHELL RD, GEORGETOWN, TX 78628",Less than 5,06 07 08 09 10 11 12,30.72,-97.68,(512) 644-9111,www.utcharter.org,14,-10873202.619026594,3595968.911651361
101803041,ARISTOI CLASSICAL ACADEMY,101803,ARISTOI CLASSICAL ACADEMY,5618 11TH ST,KATY,"77,493","5618 11TH ST, KATY, TX 77493",432,KG 01 02 03 04,29.80,-95.82,(281) 391-5003,www.aristoiclassical.org,15,-10666846.33935838,3477494.4853816316
101803002,ARISTOI CLASSICAL ACADEMY,101803,ARISTOI CLASSICAL ACADEMY,12332 PERRY RD,HOUSTON,"77,070","12332 PERRY RD, HOUSTON, TX 77070",224,KG 01 02 03 04 05 06 07 08 09 10 11 12,29.95,-95.57,(281) 391-5003,www.aristoiclassical.org,16,-10638307.595274638,3497411.471715779
101803001,ARISTOI CLASSICAL UPPER SCHOOL,101803,ARISTOI CLASSICAL ACADEMY,5610 MORTON RD,KATY,"77,493","5610 MORTON RD, KATY, TX 77493",563,05 06 07 08 09 10 11 12,29.82,-95.82,(281) 391-5003,www.aristoiclassical.org,17,-10666244.529493228,3480023.905253853
220802101,ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,220802,ARLINGTON CLASSICS ACADEMY,2800 W ARKANSAS LN,ARLINGTON,"76,016","2800 W ARKANSAS LN, ARLINGTON, TX 76016",514,KG 01 02,32.71,-97.15,(817) 274-2008,www.acaedu.net,18,-10815065.949281309,3856445.616976265
220802040,ARLINGTON CLASSICS ACADEMY - MIDDLE,220802,ARLINGTON CLASSICS ACADEMY,5200 S BOWEN RD,ARLINGTON,"76,017","5200 S BOWEN RD, ARLINGTON, TX 76017",494,06 07 08 09,32.66,-97.15,(817) 987-1819,www.acaedu.net,19,-10814786.269079445,3850636.119274385
220802102,ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,220802,ARLINGTON CLASSICS ACADEMY,2800 B W ARKANSAS LN,ARLINGTON,"76,016","2800 B W ARKANSAS LN, ARLINGTON, TX 76016",518,03 04 05,32.71,-97.15,(817) 303-1553,www.acaedu.net,20,-10815065.949281309,3856445.616976265
021805105,ARROW ACADEMY - CHAMPIONS ACADEMY,021805,ARROW ACADEMY,2700 FM 1960 RD W,HOUSTON,"77,068","2700 FM 1960 RD W, HOUSTON, TX 77068",63,KG 01 02 03 04 05 06,30.00,-95.46,(832) 446-6762,www.arrowacademy.org,21,-10626390.647862915,3503932.483985926
021805102,ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,021805,ARROW ACADEMY,17770 IMPERIAL VALLEY DR,HOUSTON,"77,060","17770 IMPERIAL VALLEY DR, HOUSTON, TX 77060",173,KG 01 02 03 04 05 06,29.95,-95.40,(832) 446-3138,www.arrowacademy.org,22,-10619870.831153193,3497744.687324741
021805101,ARROW ACADEMY - LIBERATION ACADEMY,021805,ARROW ACADEMY,11600 W AIRPORT BLVD,MEADOWS PLACE,"77,477","11600 W AIRPORT BLVD, MEADOWS PLACE, TX 77477",272,KG 01 02 03 04 05 06,29.65,-95.58,(346) 754-5867,www.arrowacademy.org,23,-10639886.165766612,3458261.5286760894
021805041,ARROW ACADEMY - SAVE OUR STREETS CENTER,021805,ARROW ACADEMY,1700 GROESBECK ST,BRYAN,"77,803","1700 GROESBECK ST, BRYAN, TX 77803",101,KG 01 02 03 04 05 06,30.66,-96.38,(979) 703-1810,www.arrowacademy.org,24,-10728880.903375199,3588185.1392629505
161802101,AUDRE AND BERNARD RAPOPORT ACADEMY,161802,RAPOPORT ACADEMY PUBLIC SCHOOL,2000 J J FLEWELLEN RD,WACO,"76,704","2000 J J FLEWELLEN RD, WACO, TX 76704",401,PK KG 01 02 03 04,31.58,-97.13,(254) 799-4191,www.rapoportacademy.org,25,-10813002.930836935,3708590.401687028
227825003,AUSTIN ACHIEVE EL,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,"7424 E HWY 290, BLDG 1",AUSTIN,"78,723","7424 E HWY 290, BLDG 1, AUSTIN, TX 78723",945,PK KG 01 02 03 04,30.32,-97.68,(512) 522-4190,www.austinachieve.org,26,-10873416.353562113,3545324.170243892
227825004,AUSTIN ACHIEVE H S,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,7424 E HWY 290 BUILDING 2,AUSTIN,"78,723","7424 E HWY 290 BUILDING 2, AUSTIN, TX 78723",621,09 10 11 12,30.32,-97.68,(512) 522-4190,www.austinachieve.org,27,-10873416.353562113,3545324.170243892
227825001,AUSTIN ACHIEVE MIDDLE,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,5908 MANOR RD,AUSTIN,"78,723","5908 MANOR RD, AUSTIN, TX 78723",602,05 06 07 08,30.31,-97.68,(512) 522-4190,www.austinachieve.org,28,-10873655.252981719,3543079.867033232
227825005,AUSTIN ACHIEVE PARMER,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,"7424 E HWY 290, BUILDING 1",Austin,"78,723","7424 E HWY 290, BUILDING 1, Austin, TX 78723",144,PK KG 06,30.33,-97.68,(512) 522-4190,www.austinachieve.org,29,-10873472.793657139,3545483.8472127724
227821101,AUSTIN DISCOVERY SCH,227821,AUSTIN DISCOVERY SCHOOL,9303 FM 969,AUSTIN,"78,724","9303 FM 969, AUSTIN, TX 78724",430,KG 01 02 03 04 05 06 07 08,30.27,-97.64,(512) 674-0700,www.austindiscoveryschool.org,30,-10868684.160895295,3538020.9809268373
227806040,AUSTIN OAKS,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,1407 W STASSNEY LN,AUSTIN,"78,745","1407 W STASSNEY LN, AUSTIN, TX 78745",19,KG 01 02 03 04 05 06 07 08 09 10 11 12,30.21,-97.79,(512) 444-4835,www.utcharter.org,31,-10886092.164829379,3530871.3513527573
046802010,AZLEWAY - BIG SANDY,046802,TRINITY CHARTER SCHOOL,1085 PRIVATE RD 3481,BIG SANDY,"75,755","1085 PRIVATE RD 3481, BIG SANDY, TX 75755",21,06 07 08 09 10 11 12,32.57,-95.08,(903) 565-6801,www.trinitycharterschools.org,32,-10583960.628387783,3838404.3173210416
046802011,AZLEWAY - WILLOW BEND,046802,TRINITY CHARTER SCHOOL,2902 HWY 31 E,TYLER,"75,702","2902 HWY 31 E, TYLER, TX 75702",8,KG 01 02 03 04 05 06 07 08 09 10 11 12,32.35,-95.26,(903) 565-6801,www.trinitycharterschools.org,33,-10604730.063495733,3809187.063311306
101853106,BAKER-RIPLEY CHARTER SCHOOL,101853,PROMISE COMMUNITY SCHOOL,6500 ROOKIN ST BLDG A,HOUSTON,"77,074","6500 ROOKIN ST BLDG A, HOUSTON, TX 77074",369,KG 01 02 03 04 05,29.71,-95.50,(713) 273-3731,www.bakerripley.org/services/promise-community-school-at-ripley-house-middle-school,34,-10630810.383417,3466404.40598552
015834004,BASIS AUSTIN,015834,BASIS TEXAS,1605 KRAMER LN,Austin,"78,758","1605 KRAMER LN, Austin, TX 78758",283,03 04 05 06 07 08 09 10 11 12,30.38,-97.70,(737) 263-5890,basisedtx.com,35,-10876224.050419316,3553086.8783281487
015834102,BASIS AUSTIN PRI,015834,BASIS TEXAS,7600 WOODROW AV,AUSTIN,"78,757","7600 WOODROW AV, AUSTIN, TX 78757",269,KG 01 02,30.35,-97.73,(737) 263-5890,basisedtx.com,36,-10878817.42942687,3548356.40042747
015834003,BASIS SAN ANTONIO - NORTHEAST CAMPUS,015834,BASIS TEXAS,11550 I-35 FRONTAGE RD,SAN ANTONIO,"78,233","11550 I-35 FRONTAGE RD, SAN ANTONIO, TX 78233",65,05 06 07 08 09 10 11 12,29.54,-98.37,(210) 742-6310,basisedtx.com,37,-10950745.739166506,3444964.854987945
015834103,BASIS SAN ANTONIO PRI - NORTHEAST CAMPUS,015834,BASIS TEXAS,11550 I-35 FRONTAGE RD,SAN ANTONIO,"78,233","11550 I-35 FRONTAGE RD, SAN ANTONIO, TX 78233",361,KG 01 02 03 04,29.54,-98.37,(210) 742-6310,basisedtx.com,38,-10950745.739166506,3444964.854987945
015834101,BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,015834,BASIS TEXAS,8519 FLOYD CURL DR,SAN ANTONIO,"78,240","8519 FLOYD CURL DR, SAN ANTONIO, TX 78240",766,KG 01 02 03 04 05,29.52,-98.59,(210) 319-5525,basisedtx.com,39,-10974957.421172248,3442133.1714745164
015834002,BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,015834,BASIS TEXAS,318 E RAMSEY RD,SAN ANTONIO,"78,216","318 E RAMSEY RD, SAN ANTONIO, TX 78216",701,KG 01 02 03 04 05,29.53,-98.49,(210) 775-4125,basisedtx.com,40,-10963953.219000973,3442960.8214012715
015834001,BASIS SAN ANTONIO- SHAVANO CAMPUS,015834,BASIS TEXAS,4114 LOCKHILL SELMA RD,SAN ANTONIO,"78,230","4114 LOCKHILL SELMA RD, SAN ANTONIO, TX 78230",976,06 07 08 09 10 11 12,29.56,-98.55,(210) 874-9250,basisedtx.com,41,-10970939.868466869,3447215.5403675325
101847101,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,5807 CALHOUN RD,HOUSTON,"77,021","5807 CALHOUN RD, HOUSTON, TX 77021",462,KG 01 02 03 04 05 06 07 08,29.70,-95.35,(713) 747-5629,bmi.wonderlandinc.org,42,-10613863.383550555,3465049.3691660953
101870001,BETA ACADEMY,101870,BETA ACADEMY,10929 ALMEDA GENOA RD,HOUSTON,"77,034","10929 ALMEDA GENOA RD, HOUSTON, TX 77034",714,03 04 05 06 07 08 09 10 11 12,29.62,-95.22,(832) 331-2460,www.betaacademy.org,43,-10600019.74622205,3455402.4778892617
101870002,BETA ACADEMY,101870,BETA ACADEMY,9701 ALMEDA GENOA RD,HOUSTON,"77,075","9701 ALMEDA GENOA RD, HOUSTON, TX 77075",584,PK KG 01 02,29.63,-95.25,(832) 331-2460,www.betaacademy.org,44,-10602756.936653372,3455869.7230334883
015809101,BEXAR COUNTY ACADEMY,015809,BEXAR COUNTY ACADEMY,1481 HILLCREST DR,SAN ANTONIO,"78,228","1481 HILLCREST DR, SAN ANTONIO, TX 78228",261,PK KG 01 02 03 04 05 06 07 08,29.47,-98.57,(210) 432-8600,www.bexarcountyacademy.org,45,-10972901.719758008,3435303.593529404
193801001,BIG SPRINGS CHARTER SCHOOL,193801,BIG SPRINGS CHARTER SCHOOL,10664 N US HWY 83,LEAKEY,"78,873","10664 N US HWY 83, LEAKEY, TX 78873",117,KG 01 02 03 04 05 06 07 08 09 10 11 12,29.84,-99.67,(830) 232-7101,www.bscsk12.com,46,-11095055.827497087,3482755.622917703
227827004,BILLY MOORE,227827,THE EXCEL CENTER (FOR ADULTS),8500 FM 3053,OVERTON,"75,684","8500 FM 3053, OVERTON, TX 75684",179,09 10 11 12,32.32,-94.97,(512) 531-5500,www.goodwillcentraltexas.org/excel-center,47,-10572289.034699742,3805487.5865322226
101875001,BLOOM ACADEMY CHARTER SCHOOL,101875,BLOOM ACADEMY CHARTER SCHOOL,3129 SOUTHMORE BLVD,HOUSTON,"77,004","3129 SOUTHMORE BLVD, HOUSTON, TX 77004",193,KG 01 02 03,29.72,-95.37,(346) 333-1320,www.bloomacademy.org,48,-10616292.383745221,3467196.178754722
123807002,BOB HOPE H S,123807,BOB HOPE SCHOOL,4545 HWY 73,PORT ARTHUR,"77,642","4545 HWY 73, PORT ARTHUR, TX 77642",485,09 10 11 12,29.93,-93.94,(409) 983-3244,www.bobhopeschool.org,49,-10457488.529996008,3495126.6791102695
123807001,BOB HOPE SCHOOL,123807,BOB HOPE SCHOOL,2849 9TH AVE,PORT ARTHUR,"77,642","2849 9TH AVE, PORT ARTHUR, TX 77642",454,06 07 08 09 10 11 12,29.92,-93.93,(409) 983-3244,www.bobhopeschool.org,50,-10456371.009212662,3492683.81212989
123807101,BOB HOPE SCHOOL - EL CAMPUS,123807,BOB HOPE SCHOOL,4301 32ND ST,PORT ARTHUR,"77,642","4301 32ND ST, PORT ARTHUR, TX 77642",728,PK KG 01 02 03 04 05,29.93,-93.93,(409) 983-3244,www.bobhopeschool.org,51,-10456522.633038294,3494035.4670359804
123807102,BOB HOPE SCHOOL BEAUMONT,123807,BOB HOPE SCHOOL,7720 PARK N AVE,BEAUMONT,"77,708","7720 PARK N AVE, BEAUMONT, TX 77708",695,PK KG 01 02 03 04 05 06 07,30.15,-94.17,(409) 983-3244,www.bobhopeschool.org,52,-10483101.886917293,3522340.404508101
213801001,BRAZOS RIVER CHARTER SCHOOL,213801,BRAZOS RIVER CHARTER SCHOOL,FM 200 AND FM 199,NEMO,"76,070","FM 200 AND FM 199, NEMO, TX 76070",182,KG 01 02 03 04 05 06 07 08 09 10 11 12,32.26,-97.65,(254) 898-9226,brazosriverschool.org,53,-10870191.482460381,3797479.4443126274
021803001,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL,021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,410 BETHEL LN,BRYAN,"77,802","410 BETHEL LN, BRYAN, TX 77802",178,PK KG 01 02 03 04 05 06 07 08,30.66,-96.37,(979) 774-5032,brazosriverschool.org,54,-10727507.103973344,3588356.326240635
021803102,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY TIDWELL,021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,1055 W TIDWELL RD,HOUSTON,"77,091","1055 W TIDWELL RD, HOUSTON, TX 77091",152,PK KG 01 02 03 04 05 06 07 08,29.85,-95.43,(713) 681-1960,brazosriverschool.org,55,-10622948.162741413,3483881.532576321
057851101,BRIDGEWAY PREPARATORY ACADEMY,057851,BRIDGEWAY PREPARATORY ACADEMY,"1861 VALLEY VIEW, STE 100",FARMERS BRANCH,"75,234","1861 VALLEY VIEW, STE 100, FARMERS BRANCH, TX 75234",96,EE PK KG 01 02 03 04 05,32.92,-96.92,(214) 257-8883,bridgewaypreparatory.org,56,-10789010.318909904,3885052.573155769
015830102,BROOKS ACADEMY LONESTAR,015830,BROOKS ACADEMIES OF TEXAS,25 BURWOOD LN,SAN ANTONIO,"78,216","25 BURWOOD LN, SAN ANTONIO, TX 78216",146,PK KG 01 02 03 04 05 06 07,29.49,-98.51,(210) 998-4452,www.brooksacademy.org,57,-10965814.234870961,3438781.4888930726
015830103,BROOKS ACADEMY OAKS,015830,BROOKS ACADEMIES OF TEXAS,6070 BABCOCK RD,SAN ANTONIO,"78,240","6070 BABCOCK RD, SAN ANTONIO, TX 78240",238,PK KG 01 02 03 04 05 06,29.53,-98.61,(210) 627-6013,www.brooksacademy.org,58,-10976909.749080952,3443444.4973460874
015830001,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,015830,BROOKS ACADEMIES OF TEXAS,3803 LYSTER RD,SAN ANTONIO,"78,235","3803 LYSTER RD, SAN ANTONIO, TX 78235","1,296",PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.34,-98.43,(210) 633-9006,www.brooksacademy.org,59,-10956802.109458962,3418728.8130867323
015830101,BROOKS COLLEGIATE ACADEMY,015830,BROOKS ACADEMIES OF TEXAS,4802 VANCE JACKSON RD,SAN ANTONIO,"78,230","4802 VANCE JACKSON RD, SAN ANTONIO, TX 78230","1,461",PK KG 01 02 03 04 05 06 07 08 09 10 11 12,29.52,-98.53,(210) 850-3002,www.brooksacademy.org,60,-10968747.970995225,3442232.0600034837
101806101,BRYSS ACADEMY,101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,2255 N CORIA ST,BROWNSVILLE,"78,520","2255 N CORIA ST, BROWNSVILLE, TX 78520",478,PK KG 01 02 03 04 05 06 07 08,25.94,-97.51,(956) 574-7100,www.ryss.org,61,-10854537.705608768,2991085.2464808594
057841002,BUCKNER PREPARATORY,057841,CITYSCAPE SCHOOLS,8510 MILITARY PKWY,DALLAS,"75,227","8510 MILITARY PKWY, DALLAS, TX 75227",313,EE PK KG 01 02 03 04 05 06 07 08 09 10 11 12,32.77,-96.67,(214) 545-6552,www.cityscapeschools.org,62,-10761663.847760772,3864588.1634054524
101837001,CALVIN NELMS H S,101837,CALVIN NELMS CHARTER SCHOOLS,20625 CLAY RD,KATY,"77,449","20625 CLAY RD, KATY, TX 77449",153,09 10 11 12,29.83,-95.73,(281) 398-8031 ext: 101,www.cnchs.net,63,-10657095.58686107,3481602.899498505
101837041,CALVIN NELMS MIDDLE,101837,CALVIN NELMS CHARTER SCHOOLS,20625 CLAY RD,KATY,"77,449","20625 CLAY RD, KATY, TX 77449",151,06 07 08,29.83,-95.73,(281) 398-8031 ext: 101,www.cnchs.net,64,-10657095.58686107,3481602.899498505
227806045,CEDAR CREST,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,3500 INTERSTATE 35 FRONTAGE RD,BELTON,"76,513","3500 INTERSTATE 35 FRONTAGE RD, BELTON, TX 76513",88,KG 01 02 03 04 05 06 07 08 09 10 11 12,31.05,-97.46,(254) 939-4017,www.utcharter.org,65,-10848716.802756019,3639679.3247734276
014803004,CEDAR PARK CHARTER ACADEMY,014803,PRIORITY CHARTER SCHOOLS,201 BUTTERCUP CREEK BLVD,CEDAR PARK,"78,613","201 BUTTERCUP CREEK BLVD, CEDAR PARK, TX 78613",157,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,30.50,-97.82,(512) 331-2980,prioritycharterschools.org,66,-10889449.703160653,3568428.523872217
227817001,CEDARS ACADEMY NEXT GENERATION H S AT HIGHLAND,227817,CEDARS INTERNATIONAL ACADEMY,6700 MIDDLE FISKVILLE RD,AUSTIN,"78,752","6700 MIDDLE FISKVILLE RD, AUSTIN, TX 78752",113,09 10 11 12,30.33,-97.71,(512) 956-4406,cedars-academy.org,67,-10876786.82833141,3545926.5940014143
227817101,CEDARS INTERNATIONAL ACADEMY,227817,CEDARS INTERNATIONAL ACADEMY,8416 N IH-35,AUSTIN,"78,753","8416 N IH-35, AUSTIN, TX 78753",383,PK KG 01 02 03 04 05 06 07 08,30.35,-97.70,(512) 419-1551 ext: 316,cedars-academy.org,68,-10875401.735567216,3548396.879233845
227814001,CHAPARRAL STAR ACADEMY,227814,CHAPARRAL STAR ACADEMY,14046 SUMMIT DR,AUSTIN,"78,728","14046 SUMMIT DR, AUSTIN, TX 78728",354,KG 01 02 03 04 05 06 07 08 09 10 11 12,30.44,-97.69,(512) 989-2672,www.chaparralstaracademy.com,69,-10874994.974147858,3559965.36354887
220815101,CHAPEL HILL ACADEMY,220815,CHAPEL HILL ACADEMY,4640 SYCAMORE SCHOOL RD,FORT WORTH,"76,133","4640 SYCAMORE SCHOOL RD, FORT WORTH, TX 76133",693,PK KG 01 02 03 04 05 06 07 08,32.63,-97.39,(817) 289-0242,www.chapelhillacademy.org,70,-10841635.528383365,3846824.9323899127
221801067,CLASSICAL ACADEMY - PERMIAN BASIN,221801,TEXAS COLLEGE PREPARATORY ACADEMIES,4320 W ILLINOIS AVE STE A,MIDLAND,"79,073","4320 W ILLINOIS AVE STE A, MIDLAND, TX 79073",286,PK KG 01 02 03 04 05 06 07 08,31.99,-102.13,(432) 682-0384,www.responsiveed.com,71,-11369313.792774256,3761859.3115701405
221801039,CLAY CLASSICAL ACADEMY,221801,TEXAS COLLEGE PREPARATORY ACADEMIES,3303 POTTERS HOUSE WAY,DALLAS,"75,236","3303 POTTERS HOUSE WAY, DALLAS, TX 75236",254,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,32.70,-96.95,(214) 467-4143,www.responsiveed.com,72,-10792128.950029207,3855220.8072560425
227806054,CLEARFORK ACADEMY,227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,7820 HANGER CUTOFF RD,FORT WORTH,"76,135","7820 HANGER CUTOFF RD, FORT WORTH, TX 76135",19,06 07 08 09 10 11 12,32.86,-97.51,(254) 644-9111,www.utcharter.org,73,-10854999.827324092,3876706.7996745883
072802002,COASTAL HORIZONS ACADEMY,072802,ERATH EXCELS ACADEMY INC,1220 GREGORY ST,TAFT,"78,390","1220 GREGORY ST, TAFT, TX 78390",49,07 08 09 10 11 12,27.97,-97.38,(361) 528-3959,www.shorelinetreatmentcenter.com/shoreline-academy.html,74,-10840816.025461601,3245771.0416571866
068802001,COMPASS ACADEMY CHARTER SCHOOL,068802,COMPASS ACADEMY CHARTER SCHOOL,5530 BILLY HEXT RD,ODESSA,"79,765","5530 BILLY HEXT RD, ODESSA, TX 79765","1,371",PK KG 01 02 03 04 05 06 07 08 09 10 11 12,31.91,-102.31,(432) 272-1836,www.mycompassacademy.com,75,-11388576.005391467,3752071.185828197
015838006,COMPASS ROSE DESTINY,015838,COMPASS ROSE PUBLIC SCHOOLS,13538 FM 973,Manor,"78,653","13538 FM 973, Manor, TX 78653",164,KG 01 02 03 04 05 06 07 08 09 10 11 12,30.36,-97.53,(210) 540-9265,www.compassroseSA.org,76,-10857407.420780683,3549584.4649583856
015838002,COMPASS ROSE INGENUITY,015838,COMPASS ROSE PUBLIC SCHOOLS,522 BILLY MITCHELL,SAN ANTONIO,"78,226","522 BILLY MITCHELL, SAN ANTONIO, TX 78226",432,KG 01 02 03 04 05 06 07 08 09 10 11 12,29.39,-98.59,(210) 540-9265,www.compassroseSA.org,77,-10975315.230958728,3425058.635111379
015838005,COMPASS ROSE JOURNEY,015838,COMPASS ROSE PUBLIC SCHOOLS,233 CRESTWIND DR,Windcrest,"78,239","233 CRESTWIND DR, Windcrest, TX 78239",296,KG 01 02 03 04 05 06 07 08 09 10 11 12,29.51,-98.39,(210) 540-9265,www.compassroseSA.org,78,-10952724.769281467,3441251.7946294593
015838001,COMPASS ROSE LEGACY,015838,COMPASS ROSE PUBLIC SCHOOLS,3300 SIDNEY BROOKS,SAN ANTONIO,"78,235","3300 SIDNEY BROOKS, SAN ANTONIO, TX 78235",604,06 07 08 09 10 11 12,29.35,-98.44,(210) 540-9265,www.compassroseSA.org,79,-10958244.98817083,3420033.830030212
015838003,COMPASS ROSE LEGACY EL,015838,COMPASS ROSE PUBLIC SCHOOLS,8005 OUTER CIR RD,SAN ANTONIO,"78,235","8005 OUTER CIR RD, SAN ANTONIO, TX 78235",340,KG 01 02 03 04 05,29.34,-98.45,(210) 540-9265,www.compassroseSA.org,80,-10959251.43881904,3419563.827003852
101842001,COMQUEST ACADEMY,101842,COMQUEST ACADEMY,207 N PEACH ST,TOMBALL,"77,375","207 N PEACH ST, TOMBALL, TX 77375",44,KG 01 02 03 04 05 06 07 08 09 10 11 12,30.10,-95.61,(281) 516-0611,www.comquestacademy.org,81,-10643570.02716639,3516377.6645526486
221801014,COPPELL CLASSICAL ACADEMY,221801,TEXAS COLLEGE PREPARATORY ACADEMIES,140 S HEARTZ RD,COPPELL,"75,019","140 S HEARTZ RD, COPPELL, TX 75019",368,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,32.97,-96.99,(972) 242-5864,www.responsiveed.com,82,-10796769.969806675,3890972.1910498156
